episode,total_steps,ep_return,avg_return,return_std
1,2000,-3235.0086015825327,-3235.0086015825327,0.0
2,4000,-1987.2689165098113,-2611.138759046172,623.8698425363607
3,6000,-1968.95479599381,-2397.077438028718,592.5539794784135
4,8000,-1015.2976001622363,-2051.6324785620973,788.2492144045962
5,10000,-2096.2603971613366,-2060.5580622819452,705.2574872956192
6,10210,118.91781235285318,-1697.3120831761455,1036.4498586544187
7,10354,63.70365721973392,-1445.7384059767342,1140.3959894661402
8,10617,-3.796532969215033,-1265.4956718507942,1168.4828790478746
9,12617,1889.0815395167085,-914.9870928099606,1482.0582128195244
10,13442,733.889936327787,-750.0993898961858,1490.4826341547405
11,13591,74.66421004428182,-675.1208808106888,1440.7630641713242
12,13694,108.37650814199387,-609.8294317312985,1396.3193509039163
13,13848,162.59066890109608,-550.412500913422,1357.2378833692449
14,14961,1045.9493706603744,-436.38665294386516,1370.9635674440879
15,15162,214.03617071087336,-393.0251313668826,1334.3768076485546
16,15367,210.53254855579678,-355.3027763717152,1300.2388296911736
17,15465,94.78624516781714,-328.8269515752721,1265.8547420853647
18,15591,131.5617624892351,-303.2498007939106,1234.7015431876735
19,15705,87.39851257122628,-282.6893632483771,1204.9318918945326
20,15880,161.72016223423117,-260.4688869742467,1178.4095479290913
21,16888,985.7064244351966,-49.4331356733602,989.6293720239612
22,17178,294.1182781985092,64.63622406205582,885.7174934290612
23,17598,388.31430101211487,182.49967891235207,754.3655859126413
24,19435,2355.31121115365,351.0301194781464,839.6335566520293
25,19534,159.80594999201296,463.83343683581387,628.1932119637615
26,19675,204.86487889768438,468.1307901630554,626.1095276476253
27,20129,766.6286675576915,503.27704067995336,622.1373365529137
28,20331,334.31241266808127,520.1824879618182,612.6502617371889
29,20482,196.39950005322805,435.5483859886441,528.8903028846315
30,22482,2194.9716820817775,508.60247327634363,651.7025284014031
31,22586,170.74739913600132,513.4066327309296,648.8337902097827
32,24586,3005.9648076773387,658.2860477076969,838.1140048450236
33,24727,262.9447062644339,663.3037495758638,835.4274062834684
34,24996,369.87929388291786,629.5002457369909,832.9347431167199
35,25371,600.8786125270709,648.8423678278008,827.5364696594677
36,25675,430.9591660476022,659.8636987023909,823.0814166773508
37,26243,897.835712068944,700.0161720474473,814.0741396804716
38,27213,1441.6514618871104,765.5206570173411,818.394765204909
39,27533,424.88898236806233,782.3951805071829,807.6473592608953
40,27684,239.6827220200404,786.2933084964733,804.8254644540816
41,27960,435.4614451380238,758.7810595316148,806.9405025573958
42,28151,161.94781741176084,752.1725364922775,811.2485580991654
43,29102,1454.863464257509,805.4999946545471,820.5787539570882
44,31102,3569.272970051348,866.198082599432,965.1380969596867
45,31168,88.76229934758406,862.6459000672105,967.8583345747252
46,31509,289.77279543013213,866.891295893833,965.1461643348748
47,32016,844.3378545647549,870.7767552441859,964.8910948338697
48,32218,263.20456873314885,867.2213630474395,966.9900116466254
49,32368,199.67857820082284,867.385316954819,966.8765307059348
50,34264,2535.271435968404,884.4003046491505,992.7379529765474
51,34397,245.7773821626459,888.1518038004828,990.1724637218887
52,34504,142.30152508106826,744.9686396706692,873.7837978394003
53,34744,420.527724491575,752.8477905820262,870.104468498383
54,35371,879.6428853897438,778.3359701573675,865.9692518403612
55,36512,1913.9116045614749,843.9876197590877,899.1633063138675
56,36606,167.861980576649,830.8327604855401,907.0001487971252
57,36907,465.87947405998966,809.2349485850924,910.2845048262199
58,37092,271.57147855056263,750.730949418265,905.3461933668406
59,37800,1070.125243491391,782.9927624744314,904.6562284326151
