episode,total_steps,ep_return,avg_return,return_std
68,27922,171.86140246101877,311.7502544015104,204.88497029518194
69,28002,126.38583520420642,294.07955232505253,204.86962185230487
70,28567,969.6989858627267,337.01270890883495,247.54017290319942
71,29723,2065.87795559633,430.609889314702,448.2643039611069
72,30659,1662.6463241158522,506.2195324025406,516.909446357401
73,30753,151.92860002954933,495.8587842188041,521.8070206889205
74,30946,304.47612604965246,500.1493960636706,519.8592820082112
75,31084,219.99934642385853,502.25426945389717,518.6340443788964
76,31235,246.978423369759,499.7608935920242,519.7342723616964
77,31408,288.1799280103156,502.2007784838473,518.6195461614511
78,31568,262.44585236713317,491.51601203601666,521.2410531858739
79,32158,1047.537780011235,537.0796624154474,527.9810862627484
80,33129,1750.9318627678444,615.511040886502,583.0875803963313
81,35129,3632.301035922066,771.3264926452105,877.6494534525197
82,35352,393.12517258898794,739.6895016403479,879.3065355552187
83,35490,244.9553406456684,733.8528365771117,882.1789947714618
84,35634,250.95085158093852,739.047797629694,879.008375830602
85,35722,158.0554206728193,728.5548958371394,884.6107595654844
86,36288,1017.7200877534057,768.6485846317989,878.6159643806146
87,36527,419.28130897359387,769.2668820203481,878.3655042129301
88,36749,387.9861095192356,780.0731173732589,872.2575710719335
89,36920,295.4545351653554,788.5265523713163,866.6828803527994
90,37070,264.2061157049367,753.2519088634269,872.9257345871166
91,37331,465.3815615927667,673.2270891632488,820.7249699200183
92,37436,185.25001007280778,599.3572734610966,794.4125420331161
93,37578,249.02496636895586,604.2120917780669,791.9562696625464
94,37947,664.213068150767,622.1989388831225,789.0241629948742
95,38278,597.1153911699943,641.0547411204294,783.6752019308277
96,38440,290.81292290753294,643.246466097318,782.6306139000739
97,38798,627.762691579861,660.2256042757953,778.4155456570313
98,38934,240.01624196442796,659.10412375566,779.00376305847
99,39059,218.54236981756983,617.6543532459767,779.2878011813084
100,39178,211.17301921822778,540.6664110684959,738.5172928886092
101,39316,252.8777622327661,371.6952473840309,207.57509575789297
102,39482,283.68681231385057,366.22332937027403,208.37895920560157
103,39706,381.01710073642244,373.0264173748118,206.52156101072939
104,39901,324.2839934025151,376.69307446589056,204.96677729482136
105,40941,1739.1739642752418,455.74900164601166,355.23109062171545
106,41024,140.7676520194342,411.9013798593131,336.8035054115928
107,41199,299.7987117573794,405.9272499985025,337.6781578249251
108,41272,131.5622546484588,393.1060572549636,342.9429523933313
109,43272,3295.9099630933297,543.1288286513624,718.2894760874626
110,43726,759.5248668856588,567.8947662103984,716.7830132425912
111,43869,242.08206401478986,556.7297913314997,720.0246380497223
112,44140,466.42673099139284,570.7886273774287,715.3640326916125
113,44350,346.32526303898777,575.6536422109305,713.4876511325925
114,44445,163.86540838527253,550.6362592226557,718.6968051597595
115,44614,277.45566074379724,534.6532727013457,721.0360659305741
116,44712,166.9770889069077,528.4614810013145,723.6304672174093
117,44890,298.6876904297612,512.0077309438095,724.9255757765029
118,44994,184.57022078457717,509.23542988481705,726.065563438203
119,45242,399.7851231512906,518.2975675515031,723.5073778444734
120,45320,137.38138045693228,514.6079856134382,725.2502295419114
121,45486,277.7983463314364,515.8540148183718,724.8207693168803
122,45656,276.72918954961494,515.50613368016,724.9337764367722
123,45761,178.85715204746452,505.3981362457122,728.1408314669317
124,45937,285.897255030104,503.47879932709156,728.6661113301328
125,46043,171.40566125905872,425.09038417628244,673.7774555360454
126,46539,751.1208907409648,455.608046112359,674.0308269345458
127,46794,431.92751742184737,462.2144863955824,673.1182077044103
128,47032,420.4999617574936,476.66137175103415,668.9543102537315
129,47206,275.90076550502204,325.66091187161874,171.18948678288623
130,47330,190.69179712289477,297.21925838348056,141.40668037836866
131,47797,713.2433677824512,320.77732357186363,167.16059431016572
132,48204,659.6017277275483,330.4360734086714,180.35737908443755
133,48397,313.0265836044106,328.7711394369425,180.35671150385318
134,48519,207.676151263353,330.96167658084653,178.59801155908514
135,48661,249.8065422204367,329.5792206546785,179.1130973814768
136,48815,258.5822596963174,334.15947919414896,176.04141173632462
137,49327,820.2704533256108,360.2386173389415,205.09202512137736
138,49946,1007.0992837602732,401.36507048772626,244.4377639206796
139,50269,530.5706881890609,407.9043487396148,246.05210432159723
140,50549,506.7809159695255,426.37432551524455,238.809951547101
141,50709,279.6373993646782,426.46627816690653,238.7530726460354
142,52709,3494.93955622754,587.3767965008028,707.6483504613497
143,52820,200.23086097806282,588.4454819473327,707.0464833350495
144,52934,201.63455542267846,584.2323469669616,709.0848625189391
145,53119,327.6961782058193,592.0468728142995,705.343548997074
146,53828,1162.8710769513464,612.6343821248186,715.6203344055036
147,54007,310.7525898578819,606.5756357466204,717.6347517257965
148,54127,208.02547667191294,595.9519114923413,721.8709559262743
149,54228,180.1771745053073,591.1657319423555,724.2903867156256
150,54340,194.5806373293446,591.3601739526781,724.1833640183585
151,54463,217.12800897525847,566.5544060123184,728.0700025520297
152,54575,199.7544882447731,543.5620440381796,732.0187830149972
153,54780,353.3598088272728,545.5787052993227,731.4362216572312
154,54977,342.5083068351049,552.3203130779102,728.9077236606738
155,55127,255.9458578087982,552.6272788573283,728.7815428460563
156,55332,343.951776649855,556.8957547050052,727.2953092818783
157,55515,302.6069081466093,531.012577446055,726.6727993525902
158,55759,415.11907419943986,501.41356696801347,718.6904017071143
159,57692,3250.171472009918,637.3936061590563,935.8238704949554
160,58453,1312.5997649724568,677.6845486092028,946.6177373405211
161,58529,132.842106815487,670.3447839817434,950.2377892774018
162,59150,1042.3233787959223,547.7139751101624,704.2124418571344
163,61150,3458.9561624675835,710.6502401846385,941.8578792642242
164,61726,1006.5667037520292,750.896847601106,936.4293644623677
165,62054,577.6333090898072,763.3937041453055,932.3571502187075
166,62223,295.01874854328923,720.0010877249026,932.9504717758066
167,62482,450.88364520933595,727.0076404924754,930.3733037055614
168,62692,365.6778815640855,734.890260737084,926.603034725361
169,63027,577.3738394382665,754.7500939837319,918.7241216669801
170,63153,228.359748805816,756.4390495575556,917.7232741563421
171,63347,358.0233644453958,763.4838173310625,914.089881881276
172,63749,693.3067755740703,788.1614316975272,905.1563569587244
173,64967,2211.435116790067,881.0651970956669,950.0051039278428
174,65897,1663.3252860626606,947.1060460570446,956.1603787516967
175,66058,279.62420915779717,948.2899636244947,955.3181397169918
176,66203,249.26139680912408,943.555444632458,958.530723060902
177,66433,410.8684664307384,948.9685225466644,955.1957208631468
178,66977,993.5157395218033,977.888355812783,947.3183041887804
179,67088,195.93477028169056,825.1765207263713,804.0523038734267
180,68504,2610.198259022211,890.056445428859,888.6657201066276
181,68613,193.27613186728408,893.078146681449,886.1851352581102
182,68757,252.34662047015294,853.5793087651606,896.201469104077
183,68842,151.16117105965245,688.1895591947638,679.0386133938291
184,68940,168.0670794517785,646.2645779797513,683.9546065476952
185,69426,879.192769228347,661.3425509866782,685.597420581685
186,69773,628.9675129928952,678.0399892091585,680.5202196904161
187,70013,426.3347943272438,676.812546665054,680.9508336274006
188,70153,244.3625283683477,670.7467790052671,684.2277809365942
189,70781,1123.8903890311992,698.0726064849136,690.8342685703758
190,70957,301.40787834950066,701.7250129620979,688.5305247060404
191,72957,3660.3117949519938,866.8394344874278,937.3189198052829
192,73627,1221.0727271601722,893.227732066733,939.4885828322875
193,74308,1218.0281125334036,843.5573818538999,893.6234567660828
194,74636,591.323872492921,789.9573111754129,874.7971371863939
195,74806,291.20420807934056,790.5363111214899,874.4629409701847
196,74899,160.38308990330486,786.092395776199,877.4231671286203
197,75277,683.5532866107899,799.7266367852017,873.596923800603
198,75344,121.7343023241772,756.1375649253202,884.5210837231033
199,75449,182.06615986427457,755.4441344044496,884.9653140400009
200,75549,160.8600593830431,632.9772244224912,783.4770775124895
201,75716,286.9790532750748,637.6623704928807,781.1102768341781
202,75861,244.9621650046854,637.2931477196072,781.2940480121775
203,76024,275.32694841745683,643.5014365874974,777.8924142475513
204,76343,570.0404195854778,663.6001035941823,770.5067075516827
205,76513,294.8170279358697,634.3813165295585,772.8537292628175
206,76607,153.17171495663933,610.5915266277458,779.944614252021
207,76892,507.0250759745753,614.6260407101124,779.1893847531514
208,77174,501.79697875571213,627.4977632294806,775.0820488850659
209,77261,157.2844217434803,579.1674648650946,772.7555319387473
210,77639,696.0980711251257,598.9019745038759,770.4464810810706
211,77732,162.7142390430144,424.02209670842694,322.3449877754702
212,77896,286.7114462418089,377.3040326625088,266.27418011735875
213,78049,268.52952712031436,329.8291033918543,184.11631056747055
214,79258,2208.5163714749465,410.68872834095555,447.67717578583625
215,79372,204.4938134741225,406.35320861069465,449.23050498045063
216,79521,254.33463911475917,411.05078607126734,447.1201143761324
217,79600,139.89539015792982,383.86789124862435,446.2520237549833
218,79757,282.92779260724797,391.9275657627779,442.88785782149193
219,79958,361.9913601804972,400.92382577858905,440.3537671547575
220,80471,934.3706931721351,439.59935746804365,451.4004773100301
221,82471,3688.6889993426817,609.6848547714239,837.5546798311382
222,82587,194.46583976764708,607.160038509572,838.7256264770889
223,82726,253.25574944725142,606.0564785610618,839.1759118156672
224,82860,236.61752307591817,589.3853337355838,843.0288744569522
225,83061,346.82170141008135,591.9855674092944,842.1960896372406
226,85061,3692.9876365094997,768.9763634869374,1071.984758882808
227,85151,156.60093787672471,751.4551565820449,1078.9641281473278
228,85353,354.50822344382436,744.0907188164505,1081.1434863068516
229,85536,323.3711257080211,752.3950540146776,1077.2350919310468
230,85734,357.21947068496695,735.4511239926697,1080.6470589845583
231,85907,292.18460928024905,741.9246425045314,1077.5801793064982
232,86133,391.2315245891503,747.1506464218985,1075.611482907446
233,86249,205.95145751589112,744.0217429416774,1077.0892216696434
