episode,total_steps,ep_return,avg_return,return_std
115,65108,1212.2811776105918,654.3116347742325,831.8653167108264
116,65258,252.99503823673723,651.3035981463516,833.2012009223691
117,66004,1056.192621843114,694.44227701846,830.7088168854485
118,67090,1611.6466898287604,751.8137082798005,852.1729253332571
119,69090,3539.9207868085173,924.0042129892275,1031.372317152628
120,69671,1049.453506068018,828.4140055444857,920.7921403576819
121,70034,508.8686492225565,844.3129356999794,912.3535562265631
122,70190,176.08607783075573,779.8237023769055,911.7235335080733
123,70343,180.05195314559322,779.3141855344317,912.0556657422428
124,70568,259.07783196718395,783.3963999257144,909.531830554962
125,71604,1697.62323863541,862.9083558089962,916.4425269650961
126,71688,138.36638452705034,862.3597947915505,916.8726721246965
127,71843,190.16149424771237,732.326023172606,812.642627782839
128,71959,136.42392285295497,707.4770331612933,822.8221270546239
129,72455,632.9535503399892,731.1806150253528,813.4520576912244
130,74455,3288.364282412983,883.6100582003104,976.3989845933328
131,74645,248.61686176360485,884.4056984038552,975.8745979749463
132,74811,223.2739592744193,888.7588490088586,972.716438942213
133,76811,3618.1556079375023,1052.2700856185797,1130.1756211491866
134,76974,228.22471376669293,1012.4369174160074,1144.388615539696
135,77270,448.0742199069766,974.2265695308266,1149.8233120752523
136,77437,231.27229116459657,973.1404321772197,1150.5141355923645
137,77582,176.93523685127948,929.1775629276278,1163.2292528422654
138,77810,316.9020361262424,864.4403302425019,1159.4685187401953
139,77980,228.32397098720463,698.8604894514363,989.5822248431222
140,78137,227.23223074257717,657.7494256851643,991.2410139401474
141,78446,334.0770886565207,649.0098476568625,993.2835860422
142,78966,646.6066618629202,672.5358768584707,987.3582188915169
143,79078,123.89348608439143,669.7279535054106,988.8335405269206
144,79431,509.1942708077132,682.233775447437,985.1356517437665
145,79583,197.2663570741423,607.2159313693736,961.8073908808458
146,79701,121.22648882593026,606.3589365843177,962.2323080979095
147,80828,1715.2447751952227,682.6131006316932,986.3552563940032
148,81565,1096.2750669080106,730.605657834446,981.9537089345247
149,81818,326.49905975328267,715.2829333051106,985.7416553179635
150,81901,96.27558790877939,555.6784985799005,796.4509769417299
151,82067,291.65714391329465,557.8305126873851,795.6761582782918
152,82813,1314.7442864567486,612.4040290465016,808.1904471343456
153,83026,306.33892579780394,446.8131949395165,422.73885457810843
154,84030,1503.2229580642072,510.56310715439224,477.55117112074277
155,84524,722.9189309299154,524.305342705539,479.50576507894857
156,84875,490.8245226478034,537.2829542796995,474.88945044356916
157,84953,134.28813902654218,535.1505993884626,476.59538435497427
158,86284,2104.6222584106476,624.536610502683,583.0383727173927
159,86412,150.7451612787915,620.6576700172624,585.912443940175
160,86528,131.3193215545856,615.8620245578627,589.4945427219504
161,87438,1425.8500080287802,670.4506705264755,611.0301013809326
162,87557,150.9677083388575,645.6687228502725,621.4566279521608
163,87642,145.68476107997813,646.7582866000519,620.5593295509923
164,87891,355.05098821319314,639.0511224703258,623.1716822741681
165,88704,1287.6914950499488,693.5723793691161,629.8002904372117
166,88854,151.42830307857147,695.0824700817482,628.4609331633899
167,89063,302.2494735585841,624.4327049999163,587.9209869749739
168,91063,3345.7077778248713,736.9043405457594,831.9473291607127
169,91345,359.7649200990474,738.5676335630476,831.158032116401
170,91916,767.6735987594273,772.1375341055799,817.9927508200401
171,92101,318.85200049757157,773.4972769347937,817.215155252595
172,92679,903.0936362736389,752.9147444256384,808.4610775305782
173,92878,274.2132363346745,751.3084599524819,809.378151629612
174,93088,344.8532433026098,693.389974214402,794.8144204018566
175,93373,400.169801093443,677.2525177225784,797.323554718367
176,93442,117.48824032328181,658.5857036063524,805.7949077803363
177,93566,145.55176724731004,659.1488850173907,805.4321265091215
178,93753,229.5924885845159,565.3973965260842,738.0297013298624
179,95753,3355.261133871508,725.6231951557199,948.4649141304654
180,97753,3101.075114310148,874.110984793498,1068.6513959036668
181,97881,131.41692510436388,809.3893306472771,1072.4671739863545
182,99506,2594.41098737166,931.5614945989173,1128.2282418669731
183,99793,372.9354934359201,942.9240312167145,1121.3799075033844
184,99921,158.0099936146198,933.0719814867858,1127.3511434575955
185,100063,242.5328998479443,880.8140517266856,1133.9065969584437
186,100222,157.4500592102387,881.115139533269,1133.713665234273
187,100329,182.6775608233781,875.1365438965083,1137.0608650105905
188,100490,255.20782524096495,720.6115462673134,991.4932705577528
189,100660,221.20138576878747,713.6833695508003,994.4701689685322
190,100881,253.7495660095428,687.987167913306,999.370717066096
191,100982,191.07709857036963,681.5984228169459,1002.1147420953673
192,101116,152.04999297123152,644.0462406518257,1007.1702241616827
193,101292,304.26031680386086,645.5485946752849,1006.639709388831
194,101860,849.0069989759501,670.756282458952,1005.1054464046065
195,102041,232.9634896471504,662.3959668866373,1008.0125682712218
196,102209,259.76695414920744,669.5099025779335,1004.6382504579435
197,102279,120.20509140354545,668.2425687857454,1005.3141750459239
198,102389,143.65252144250132,663.9455704286447,1007.3614880463407
