episode,total_steps,ep_return,avg_return,return_std
1,2000,-3047.001154286315,-3047.001154286315,0.0
2,3803,-1136.5895701306938,-2091.7953622085042,955.2057920778105
3,4041,-64.38207669930807,-1415.990933705439,1233.5728547521524
4,6041,-2108.184083728745,-1589.0392212112656,1109.555595908618
5,6949,91.77994439463232,-1252.875388090086,1198.7140556131808
6,7371,144.0686742902901,-1020.0513776933567,1211.8022067798777
7,7557,316.72376767983457,-829.0834997829007,1215.523062405155
8,7711,246.5564603414895,-694.6285047673518,1191.3674058099687
9,7855,233.30075502359736,-591.5252536794686,1160.470716406022
10,8261,139.98365023244855,-518.3743632882769,1122.5785184821295
11,8400,213.81289705384745,-451.8118850753565,1090.8373467294969
12,8535,225.75642302396298,-395.3478594004132,1061.054030395164
13,8670,215.7976008552069,-348.3366701499809,1032.3533966962348
14,9095,135.13113140000996,-313.80325575355295,1002.5624770311118
15,9724,50.79151913449126,-289.49693742768335,972.8277914796605
16,9814,150.7097956150802,-261.9840166125107,947.9444628034512
17,10174,95.79033479692806,-240.93846652960252,923.4861125568464
18,10843,28.370545816313495,-225.9768547326072,899.5847884405596
19,10922,117.08197084087887,-207.92112707084476,878.9361221554329
20,12922,-852.8474782535484,-240.16744462997994,868.1353272471499
21,13316,93.67463165862972,-83.13365533273269,583.6575094568227
22,13422,177.30980894571292,-17.438686378912365,533.1447562178823
23,13542,183.4582276555818,-5.046671161167869,534.7874002350455
24,15542,274.0745498885079,114.06626051969477,233.55033066020252
25,15678,219.40010426024668,120.44726851297551,234.59532524331394
26,15779,172.77948194710328,121.88280889581615,234.82321081491585
27,15921,249.23745745067853,118.50849338435835,232.47228801878384
28,16121,331.13154217724866,122.73724747614631,235.51241217253508
29,16281,275.46294617816557,124.8453570338747,236.67846258914201
30,16437,279.2373269843958,131.8080408714721,239.05773635368794
31,16560,212.77408068757262,131.75610005315835,239.04002545808368
32,16645,154.44048269704297,128.19030303681234,238.14143882891406
33,16775,222.9016479169826,128.54550538990114,238.27710492133372
34,16944,313.62675322861884,137.47028648133158,241.6752198793702
35,17044,179.76692366800071,143.91905670800705,240.99608940132643
36,17258,353.48256468705324,154.0576951616057,245.29545573474923
37,17395,245.910632136323,161.56371002857543,245.69414763540024
38,17530,243.1363283130756,172.30199915341353,244.32762222475571
39,17747,369.1263567270974,184.90421844772445,247.6321866422736
40,17918,283.65967367636637,241.7295760442202,68.80248100044446
41,18188,496.1933208264601,261.85551050261176,80.43820421026368
42,18323,203.99614172506153,263.18982714157914,79.23705472099827
43,18421,166.6490926747048,262.3493703925353,80.16204679305453
44,18634,364.21352419073503,266.8563191076467,83.17200526061485
